,书名,点击量
0,从前有座灵剑山,188785
1,庆余年,120722
2,大医凌然,24891
3,剑来,18341
4,四海鲸骑,17021
5,凡人修仙传仙界篇,14714
6,诡秘之主,13556
7,第一序列,13494
8,元尊,12497
9,圣墟,11638
10,武炼巅峰,8263
11,斗罗大陆,8038
12,阴阳师,7183
13,逆天邪神,7169
14,剑灵,6686
15,伏天氏,6082
16,修真聊天群,4813
17,明朝败家子,4745
18,三寸人间,4652
19,万古神帝,4489
20,全职法师,4444
21,九星毒奶,4048
22,大道朝天,3981
23,天龙八部,3972
24,完美世界,3934
25,超神机械师,3867
26,凡人修仙传,3837
27,赘婿,3658
28,河山,3596
29,帝霸,3583
30,斗破苍穹,3430
31,学霸的黑科技系统,3188
32,琅琊榜,3068
33,法医秦明,2993
34,西游记,2966
35,最强狂兵,2791
36,天下第九,2783
37,雪中悍刀行,2748
38,三国演义,2722
39,校花的贴身高手,2575
40,天官赐福,2426
41,修罗武神,2396
42,将夜,2243
43,人皇纪,2201
44,天涯明月刀,2197
45,红楼梦,2124
46,十宗罪,2124
47,夫人你马甲又掉了,2114
48,帝师,2094
49,人民的名义,2057
