排名          书名          点击量         
1           从前有座灵剑山     188785      
2           庆余年         120722      
3           大医凌然        24891       
4           剑来          18341       
5           四海鲸骑        17021       
6           凡人修仙传仙界篇    14714       
7           诡秘之主        13556       
8           第一序列        13494       
9           元尊          12497       
10          圣墟          11638       
11          武炼巅峰        8263        
12          斗罗大陆        8038        
13          阴阳师         7183        
14          逆天邪神        7169        
15          剑灵          6686        
16          伏天氏         6082        
17          修真聊天群       4813        
18          明朝败家子       4745        
19          三寸人间        4652        
20          万古神帝        4489        
21          全职法师        4444        
22          九星毒奶        4048        
23          大道朝天        3981        
24          天龙八部        3972        
25          完美世界        3934        
26          超神机械师       3867        
27          凡人修仙传       3837        
28          赘婿          3658        
29          河山          3596        
30          帝霸          3583        
31          斗破苍穹        3430        
32          学霸的黑科技系统    3188        
33          琅琊榜         3068        
34          法医秦明        2993        
35          西游记         2966        
36          最强狂兵        2791        
37          天下第九        2783        
38          雪中悍刀行       2748        
39          三国演义        2722        
40          校花的贴身高手     2575        
41          天官赐福        2426        
42          修罗武神        2396        
43          将夜          2243        
44          人皇纪         2201        
45          天涯明月刀       2197        
46          红楼梦         2124        
47          十宗罪         2124        
48          夫人你马甲又掉了    2114        
49          帝师          2094        
50          人民的名义       2057        
